Actors,film_count,average_rating
Aamir Khan,3,8.3
Aaron Lazar,3,8.3
Abe Vigoda,2,9.1
Adam Goldberg,2,8.4
Adrien Brody,2,8.3
Ahn Seong-bong,2,8.3
Akihiro Miwa,2,8.2
Akio Kusama,2,8.4
Akio Nakamura,2,8.4
Akira Nagoya,2,8.4
Akira Tani,3,8.4
Al Ernest Garcia,2,8.5
Al Pacino,4,8.7
Al Rodrigo,2,8.5
Alan Ford,2,8.1
Alan Howard,2,9.0
Alan Rickman,2,8.1
Albert Brooks,2,8.2
Aldo Sambrell,2,8.5
Alec Guinness,5,8.4
Alex Hyde-White,2,8.1
Alexander Held,2,8.6
Alexandra Maria Lara,2,8.1
Alfonso Freeman,2,9.0
Alfred Molina,2,8.3
Allison Janney,3,8.2
Amber Smith,2,8.2
Ameenah Kaplan,2,8.4
Andrew Garfield,2,8.1
Andrew Leviton,2,8.5
Andrew Pleavin,2,8.5
Andrew Scott,2,8.4
Andrew Stanton,3,8.2
Andrew Tiernan,2,8.3
André Morell,3,8.1
Andrée Damant,2,8.2
Andy Serkis,4,8.8
Anne Hathaway,2,8.6
Anthony Daniels,3,8.5
Anthony Hopkins,3,8.3
Anthony Mackie,3,8.3
Anthony Powers,2,8.4
Anthony Sharp,2,8.1
Antonio David Lyons,2,8.3
April Grace,2,8.4
Armen Garo,2,8.4
Arnold Schwarzenegger,2,8.4
Arthur Ortiz,2,8.5
Atsushi Watanabe,3,8.4
August Schmölzer,2,8.6
Austin Pendleton,2,8.2
Barry Del Sherman,2,8.2
Barry Humphries,2,8.1
Barry Pepper,2,8.6
Bates Wilder,2,8.1
Ben Affleck,2,8.2
Ben Kingsley,2,8.6
Ben Wright,2,8.2
Benedict Cumberbatch,5,8.3
Benedict Wong,3,8.3
Benicio Del Toro,3,8.4
Benito Stefanelli,2,8.5
Bernard Hill,2,8.9
Beulah Bondi,2,8.4
Bibi Andersson,2,8.1
Bill Camp,2,8.2
Bill Farmer,3,8.2
Bill Murray,2,8.0
Bill Paxton,2,8.2
Bill Thompson,2,8.1
Bill Young,2,8.4
Billy Boyd,3,8.9
Billy Crudup,2,8.2
Billy Crystal,2,8.1
Billy Dee Williams,2,8.5
Billy Jackson,3,8.9
Bo Dietl,2,8.4
Bob Bergen,4,8.3
Bob Peterson,5,8.2
Bob Scott,3,8.1
Bob Stephenson,3,8.5
Bokuzen Hidari,2,8.4
Bonnie Hunt,3,8.3
Boyd Holbrook,2,8.1
Brad Bird,2,8.0
Brad Dourif,2,8.8
Brad Garrett,2,8.1
Brad Pitt,5,8.4
Bradford Lewis,2,8.0
Bradley Cooper,2,8.4
Bradley Gregg,2,8.1
Brent Briscoe,2,8.5
Bret 'Brook' Parker,3,8.1
Brett Cullen,2,8.4
Brian Delate,2,8.8
Brian Haley,2,8.3
Brian Howe,2,8.1
Brian Libby,3,8.7
Brian T. Finney,2,8.1
Brian Tyree Henry,3,8.5
Bridget Hoffman,3,8.2
Brie Larson,2,8.2
Brooke Smith,2,8.6
Bruce Boa,2,8.4
Bruce Hopkins,2,8.9
Bruce Phillips,2,8.9
Bruce Willis,3,8.4
Bryan Callen,2,8.2
Bud Luckey,2,8.2
Burnell Tucker,2,8.6
Burr Steers,2,8.6
